phase,task,description,owner_role,owner_name,collaborators,deadline,status,output,risk,notes
Phase 01,确认机构名义,确认是否可正式以学院名义对外发布,项目负责人,,财务行政|招生运营,,,审批确认邮件或会议纪要,口径不明导致无法公开招生,
Phase 01,锁定时间地点,确认开班日期教室容量和场地资源,项目负责人,,班主任/教务|现场执行,,,场地确认单,时间地点变动影响招生,
Phase 01,确认收费路径,明确支付方式和开票流程,财务行政负责人,,项目负责人|招生运营,,,收费说明,报名后无法收款或开票,
Phase 02,定稿招生简章,完成网站文案和 FAQ 最终确认,教学总教练,,项目负责人|招生运营,,,定稿文案,对外信息不一致,
Phase 02,补齐三位教练信息,收集姓名照片职务和代表案例,教学总教练,,项目教练,,,教练简介,师资介绍空白影响信任,
Phase 02,锁定20个场景,确认案例边界和优先级,教学总教练,,实战教练|项目教练,,,案例清单,现场内容过载,
Phase 03,上线网站,发布招生简章网页,招生运营负责人,,技术保障负责人,,,网站链接,页面公开但报名流程未准备好,
Phase 03,制作报名二维码,完成表单并生成二维码,招生运营负责人,,财务行政负责人,,,二维码与表单,无法承接报名线索,
Phase 03,建立咨询台账,记录报名来源和跟进状态,招生运营负责人,,班主任/教务负责人,,,咨询台账,线索流失,
Phase 03,发布招生海报,准备可转发海报或长图,招生运营负责人,,项目负责人,,,海报文件,传播物料不统一,
Phase 04,准备工作台模板,整理统一项目模板和案例包,技术保障负责人,,教学总教练|实战教练,,,模板压缩包,现场环境不一致,
Phase 04,安装核心工具,验证 CC Codex CLI Gemini CLI 与国产模型路径,技术保障负责人,,实战教练,,,安装说明,工具无法运行,
Phase 04,测试账号和 token,确认现场账号和额度策略,技术保障负责人,,财务行政负责人,,,账号清单,账号失效导致停课,
Phase 04,场地网络彩排,在实际教室测试网络投影和插排,技术保障负责人,,现场执行支持,,,彩排记录,现场网络故障,
Phase 04,准备签到物料,名牌签到表议程单和座位图,班主任/教务负责人,,现场执行支持,,,签到包,现场秩序混乱,
Phase 04,安排助教排班,明确技术支持和现场支持班次,班主任/教务负责人,,技术保障负责人,,,排班表,问题无人响应,
Phase 05,Day1签到与开营,确保所有学员完成入场和环境检查,班主任/教务负责人,,技术保障负责人|现场执行支持,,,签到完成记录,首日节奏失控,
Phase 05,Day1上机带练,完成首批场景实操,实战教练,,教学总教练|技术保障负责人,,,Day1成果清单,学员跟不上,
Phase 05,Day2进阶联调,完成第二批场景和成果收敛,项目教练,,教学总教练|实战教练,,,Day2成果清单,成果无法成型,
Phase 05,发布合作建议,输出 AI 辅助足球教练系统与 AI 赛事管理系统建议稿,项目教练,,合作与商务负责人,,,建议稿,后续合作链路缺失,
Phase 05,会后资料发放,48 小时内发出课件案例和回访问卷,班主任/教务负责人,,招生运营负责人,,,资料发送记录,会后失联,
Phase 05,重点线索跟进,推进学校单位和潜在合作对象,合作与商务负责人,,项目负责人|项目教练,,,跟进清单,转化率下降,
